1643,14B,17,14,3
1545,14s,18,15,3
1793,23,21,16,5
2215,23,21,10,11
1739,25,16,13,3
1758,25,16,8,8
2201,25,17,10,7
1766,31A,16,9,7
1870,31A,16,7,9
723,32,34,27,7
729,32,34,31,3
1477,4,19,14,5
1518,4,19,16,3
1588,4,19,19,0
1620,4,19,19,0
1662,4,19,19,0
1910,42A,24,21,3
2205,42A,24,18,6
2126,42L,21,21,0
1443,44,22,14,8
1510,44,22,14,8
1562,44,22,12,10
1630,44,22,15,7
2325,44,22,8,14
2459,44,22,22,0
2516,48,27,27,0
2576,48,27,25,2
2503,48AD,22,18,4
2539,48AD,22,17,5
2549,48AD,22,22,0
2551,48AD,22,22,0
2563,48AD,22,14,8
2440,48PT,27,25,2
2441,48Y,28,16,12
2571,48Y,28,22,6
2081,4B,19,19,0
1940,57,22,18,4
778,57,22,22,0
2202,69,22,19,3
1657,71,21,14,7
2594,71,21,13,8
2333,75,25,22,3
2530,75,25,19,6
2531,75,25,19,6
2540,75,25,10,15
2543,75,25,22,3
2511,76,15,10,5
2513,76,15,10,5
2470,77B,11,5,6
2521,77B,11,4,7
2544,77B,11,9,2
2578,77B,11,11,0
2471,77BA,12,10,2
2565,77BA,12,10,2
2575,77BA,12,10,2
2542,77BS,10,5,5
2602,77BS,10,8,2
1629,93,21,12,9
1455,c3,22,17,5
1647,c3,22,16,6
1901,c3,22,12,10
2048,c3,22,16,6
1440,c4,23,20,3
2076,c4,23,15,8
2117,c4,23,17,6
2361,MC,9,0,9
2362,MC,9,7,2
